S.NO,DISTRICT,PLACE,WHY VISIT?,TIMING TO VISIT
01,Thiruvananthapuram,Sree Padmanabhaswamy Temple,"Famous Lord Vishnu temple, rich history, architecture","Morning: ~3:30 AM � 12:00 PM;
Evening: ~5:00 PM
� 7:30 PM"
02,Thiruvananthapuram,Attukal Bhagavathy Temple,Renowned Devi temple with distinctive rituals,"4:30 AM � 12:30 PM & 5:00 PM �
8:30 PM"
03,Thiruvananthapuram,Thirichittoor Rock,"Scenic rock formation
,temples with views","6:00 AM � 9:00 AM
& 5:30 PM � 8:00 PM"
04,Thiruvananthapuram,Napier Museum,"Architectural Beauty, Diverse & Rare
Collections, Natural History & Art","10:00 AM to 4:45
PM       Closed on Mondays. On Wednesdays, it opens at 1:00 PM instead of morning."
05,Thiruvananthapuram,Thiruvananthapuram Zoo,"Pleasant Ambience, Variety of animals,
birds, reptiles. There is a reptile house / snake farm, species like Nilgiri
langur, lions, tigers, etc.","9:00 AM to 5:15
PM       Closed on Mondays."
06,Thiruvananthapuram,Kuthiramalika Palace (Puthenmalika Palace Museum),"Built by Maharaja Swathi Thirunal (a poet, musician, and ruler of Travancore).
Famous for its wooden carvings, horse-shaped brackets (122 horses), and Kerala-style
architecture.
Houses rare paintings,
royal artifacts, and traditional furniture.","8:30 AM � 1:00 PM
& 3:00 PM � 5:30
PM (closed on Mondays)."
07,Kollam,Jatayu Earth�s Center (Jatayu Rock),"Huge sculpture of
Jatayu bird, cable car ride, adventure park",10:00 AM � 6:00 PM
08,Kollam,Thenmala Ecotourism,"India�s first planned ecotourism spot, trekking, musical
fountain, boating",9:00 AM � 5:00 PM
09,Kollam,Thangassery Lighthouse,140-year-old lighthouse with sea view,"10:00 AM � 1:00 PM, 2:00 PM �
6:00 PM (Closed
Monday)"
10,Kollam,Ashtamudi Lake,"It is the second-largest lake in Kerala and known as the ""Gateway to the Backwaters"".","10:00 AM � 6:00 PM
Houseboat cruises usually start
around 11:00 AM
and end by 5:00� 6:00 PM."
11,Kollam,Thangassery Lighthouse,"Features the world�s largest bird sculpture
(200 feet long, 150 feet wide, 70 feet tall).
Ropeway, adventure park, paintball,
trekking, and ziplining activities.",10:00 AM � 6:00 PM
12,Alappuzha,Alappuzha Backwaters & Houseboats,"Houseboat cruise, lake views, sunset","11:00 AM � 5:00
PM (day cruise)"
13,Alappuzha,Alappuzha Beach,"Historic pier,
lighthouse, beach walk","Open all day (best
sunrise/sunset)"
14,Alappuzha,Krishnapuram Palace,"Museum with murals &
artefacts","9:00 AM � 5:00 PM
(Closed Monday)"
15,Alappuzha,Vembanad Lake,"The largest lake in
Kerala, famous for boat races (Nehru Trophy Snake Boat Race in August). Ideal for bird
watching and boating",Morning and evening are best. (timing are not fixed)
16,Alappuzha,Krishnapuram Palace,"18th-century palace built by Travancore kings, famous for mural paintings and Kerala
architecture.","9:00 AM � 4:30 PM
(closed on Mondays)."
17,Alappuzha,Ambalappuzha Sri Krishna Temple,"Known as the �Dwaraka of the South�, famous for its deity of Lord Krishna and
Palpayasam (sweet milk pudding) offering.",5:00 AM � 12:00 PM & 5:00 PM � 8:00 PM.
18,Pathanamthitta,Sabarimala Temple,"Famous Ayyappa temple, seasonal pilgrimage","Open during Mand ala/Makaravilakku (Nov�Jan) & 1st� 5th of Malayalam
month"
19,Pathanamthitta,Aranmula Parthasarathy Temple,"Krishna temple, boat race venue, heritage
village","4:00 AM � 11:00 AM & 5:00 PM �
8:00 PM"
20,Pathanamthitta,Perunthenaruvi Waterfalls,Scenic waterfalls & picnic spot,8:00 AM � 6:00 PM
21,Pathanamthitta,Gavi Eco-Tourism,"A beautiful forest destination inside
Periyar Tiger Reserve, perfect for trekking, boating, and wildlife spotting. Ranked among the top eco-
tourism spots in India.","6:00 AM � 4:00 PM
(permit required)."
